number,type,height,region,notes
Tas Farm 0073,larix,15,Tasiusaq,below road and above cultivated area
Tas Farm 0074,engelmannii,5,Tasiusaq,below road and above cultivated area
Tas Farm 0075,contorta,6,Tasiusaq,below road and above cultivated area
Tas Farm 0076,larix,12,Tasiusaq,above Lennert family white house
Tas Farm 0077,larix,13,Tasiusaq,above Lennert family white house
Tas Farm 0078,larix,3,Tasiusaq,above Lennert family white house
Tas Farm 0079,engelmannii,3,Tasiusaq,above Lennert family white house
Tas Farm 0080,engelmannii,5,Tasiusaq,above Lennert family white house
Tas Farm 0081,engelmannii,3,Tasiusaq,above Lennert family white house
Tas Farm 0082,engelmannii,4,Tasiusaq,above Lennert family white house
Tas Farm 0083,engelmannii,5,Tasiusaq,above Lennert family white house
Tas Farm 0084,engelmannii,3,Tasiusaq,above Lennert family white house
Tas Farm 0085,engelmannii,5,Tasiusaq,above Lennert family white house
Tas Farm 0086,engelmannii,4,Tasiusaq,above Lennert family white house
Tas Farm 0108,larix,20,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0109,engelmannii,8,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0110,contorta,13,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0111,engelmannii,10,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0112,larix,12,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0113,engelmannii,11,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0114,contorta,11,Tasiusaq,RELOCATED from Tasermiut hostel
Tas Farm 0115,alnus,49,Tasiusaq,above Lennert family white house
Tas Farm 0116,alnus,56,Tasiusaq,above Lennert family white house
Tas Farm 0117,alnus,53,Tasiusaq,above Lennert family white house
Tas Farm 0118,alnus,40,Tasiusaq,above Lennert family white house
Tas Farm 0119,alnus,41,Tasiusaq,above Lennert family white house
Tas Farm 0120,alnus,42,Tasiusaq,above Lennert family white house
Tas Farm 0121,alnus,26,Tasiusaq,above Lennert family white house
