,date,name,lat,lon,elev,location,location2,species,height,notes,persons,orig_name
0,2023-05-24 12:07:00+00:00,poplar 22,60.912588,-46.047204,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 22
1,2023-05-24 12:07:00+00:00,poplar 21,60.912600,-46.047223,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 21
2,2023-05-24 12:07:00+00:00,poplar 20,60.912613,-46.047239,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 20
3,2023-05-24 12:07:00+00:00,poplar 19,60.912626,-46.047256,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 19
4,2023-05-24 12:07:00+00:00,poplar 18,60.912633,-46.047267,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 18
5,2023-05-24 12:07:00+00:00,poplar 17,60.912641,-46.047278,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 17
6,2023-05-24 12:07:00+00:00,poplar 16,60.912649,-46.047290,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 16
7,2023-05-24 12:07:00+00:00,poplar 15,60.912658,-46.047301,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 15
8,2023-05-24 12:07:00+00:00,poplar 14,60.912666,-46.047313,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 14
9,2023-05-24 12:07:00+00:00,poplar 01,60.912804,-46.047504,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 01
10,2023-05-24 12:07:00+00:00,poplar 13,60.912675,-46.047326,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 13
11,2023-05-24 12:07:00+00:00,poplar 11,60.912694,-46.047350,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 11
12,2023-05-24 12:07:00+00:00,poplar 10,60.912703,-46.047362,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 10
13,2023-05-24 12:07:00+00:00,poplar 09,60.912712,-46.047374,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 09
14,2023-05-24 12:07:00+00:00,poplar 08,60.912721,-46.047387,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 08
15,2023-05-24 12:07:00+00:00,poplar 07,60.912729,-46.047399,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 07
16,2023-05-24 12:07:00+00:00,poplar 06,60.912738,-46.047410,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 06
17,2023-05-24 12:07:00+00:00,poplar 05,60.912749,-46.047426,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 05
18,2023-05-24 12:07:00+00:00,poplar 04,60.912760,-46.047442,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 04
19,2023-05-24 12:07:00+00:00,poplar 12,60.912684,-46.047338,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 12
20,2023-05-24 12:07:00+00:00,poplar 03,60.912774,-46.047462,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 03
21,2023-05-24 12:07:00+00:00,poplar 23,60.912573,-46.047184,15,Narsaq,Tiny_Forest,poplus,30.0,cuttings from Narsarsuaq spring 2022,"Faezeh, Dirk",poplar 23
